ACTIVITY_ID,PAGINATION_TOKEN,PUBLISHED_DATE,AUTHOR_NAME,AUTHOR_URL,SUBDESCRIPTION,TITLE,TEXT,CHARACTER_COUNT,TAGS,TAGS_COUNT,EMOJIS,EMOJIS_COUNT,LINKS,LINKS_COUNT,PROFILE_MENTION,COMPANY_MENTION,CONTENT,CONTENT_TITLE,CONTENT_URL,CONTENT_ID,IMAGE_URL,POLL_ID,POLL_QUESTION,POLL_RESULTS,POST_URL,VIEWS,COMMENTS,LIKES,SHARES,ENGAGEMENT_SCORE,DATE_EXTRACT
6965409041871241216,dXJuOmxpOmFjdGl2aXR5OjY5NjU0MDkwNDE4NzEyNDEyMTYtMTY2MDY4MjkyNjU4OA==,2022-08-16 22:48:46+0200,Jérémy Ravenel,https://www.linkedin.com/in/ACoAAAJHE7sB5OxuKHuzguZ9L6lfDHqw--cdnJg,1 day ago,Why is reading the documentation so important?,"Why is reading the documentation so important?

Human brains are lazy engines. They almost always choose the “shortest” way to go from point A to point B. 

When writing code it goes like this: 
✅write code
😢encounter error
😬modify code
😡encounter error
😎go to StackOverflow
🥳copy code
😏run code
🥶repeat.

…this is no where near from effiency! 

When you avoid reading the documentation, you’re missing out on understanding the bigger picture and the deeper mechanical processes behind your code.

This leads to writing less efficient code.

I know because I’ve being doing it recently with Plotly Dash library.

😩Everything was right here, in the docs, but my brain was too lazy to read the details and understand the situation.

Do you relate?

Btw we worked with Shloka Gupta on a nice rework of https://docs.naas.ai so if you want to get started, I suggest you start there 🏁😉

PS: the good thing is all the templates are available in naas docs, just click on “open in naas” button and get things done ✔️ 

Cheers!
 #readthedocs #documentation #writing #code #data #buildinpublic #opensource
#templates",1073,#readthedocs #documentation #writing #code #data #buildinpublic #opensource #templates,8,"✅, 😢, 😬, 😡, 😎, 🥳, 😏, 🥶, 😩, 🏁, 😉, ✔️",12,,0,Shloka Gupta,plotly,Image,,,,https://media-exp1.licdn.com/dms/image/C5622AQFno-WtlfesFQ/feedshare-shrink_2048_1536/0/1660682923279?e=1663804800&v=beta&t=E4-X9qOpGLMxzKnOnekZgJwt0puT22rHvOPm7HeT_hY,,,,https://www.linkedin.com/feed/update/urn:li:activity:6965409041871241216,3039,11,35,0,0.0151,2022-08-18 08:35:20
6964846606466588672,dXJuOmxpOmFjdGl2aXR5OjY5NjQ4NDY2MDY0NjY1ODg2NzItMTY2MDU0ODgzMTU1Ng==,2022-08-15 09:33:51+0200,Eddie Jaoude,https://www.linkedin.com/in/ACoAAAMoDw4BaimbnlHgdB3_PG6grXbBPr00TCc,3 days ago,"I always get asked ""why contribute to open source""?","I always get asked ""why contribute to open source""?

Many reasons why, here are a few...

✅ learn from others
✅ grow your network
✅ stand out from the crowd
✅ get companies / recruiters hiring you directly
and so many more!",215,,0,"✅, ✅, ✅, ✅",4,,0,,,Text,,,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:6964846606466588672,0,0,0,0,0.0,2022-08-18 08:35:20
6963906017034125312,dXJuOmxpOmFjdGl2aXR5OjY5NjM5MDYwMTcwMzQxMjUzMTItMTY2MDMyNDU3NzU1MA==,2022-08-12 19:16:17+0200,Jérémy Ravenel,https://www.linkedin.com/in/ACoAAAJHE7sB5OxuKHuzguZ9L6lfDHqw--cdnJg,5 days ago,"I received 300+ invites during my 66 days of data challenge, and automated acceptation + first ""hello message"" using naas.ai","I received 300+ invites during my 66 days of data challenge, and automated acceptation + first ""hello message"" using naas.ai
👇

Today in day 66/66...and I'm not sure I'm done yet. 

Every day, I tried to share my learnings about data, product management, open source community building and sustainability.

I tried to put together different kind of content: 
→ Informative 🚨
→ Inspirational 👌
→ Provocative 😜
→ Entertaining 🤣

I really enjoyed the process of documenting my journey and sharing it with the world. I see a lot of value in content creation and I really enjoy the process of writing.

I feel honored that people like Ethan Aaron, Mehdi Ouazza, Zain Daniyal 📊 have shared my name in their list of data content creator to follow 🙏

If you want to get notified of my latest prose here, activate the 🔔 on my profile Jérémy Ravenel. 

I'm not done yet 🤙

Thanks for the support 💚
#opensource #sustainability #data #people #community #ai #share #connections #buildinginpublic #like #building #writing #productmanagement #content",1013,#opensource #sustainability #data #people #community #ai #share #connections #buildinginpublic #like #building #writing #productmanagement #content,14,"👇, 🚨, 👌, 😜, 🤣, 📊, 🙏, 🔔, 🤙, 💚",10,,0,"Ethan Aaron, Mehdi Ouazza, Zain Daniyal 📊, Jérémy Ravenel",naas-ai,Image,,,,https://media-exp1.licdn.com/dms/image/C4E22AQHHeoMzOoXJJA/feedshare-shrink_2048_1536/0/1660324574650?e=1663804800&v=beta&t=XiyXc3MJTJaGtpYD2V0NaeRAZtF9mJElGPOsP94PZd4,,,,https://www.linkedin.com/feed/update/urn:li:activity:6963906017034125312,4101,6,50,0,0.0137,2022-08-18 08:35:20
6963604710779973633,dXJuOmxpOmFjdGl2aXR5OjY5NjM2MDQ3MTA3Nzk5NzM2MzMtMTY2MDI1Mjc0MDU1MA==,2022-08-11 23:19:00+0200,Jérémy Ravenel,https://www.linkedin.com/in/ACoAAAJHE7sB5OxuKHuzguZ9L6lfDHqw--cdnJg,6 days ago,"We under estimate how powerful taking a break, breathing, walking is when you are stuck on something.","We under estimate how powerful taking a break, breathing, walking is when you are stuck on something.


Don’t you think?

It works for any kind of tasks. 

Today is day 65/ #66daysofdata and I finally figured out how to make a my #opensource dashboard fully responsive just by getting some fresh air. 

The solution just came to me like magic.
Did that happen to you as well?

Enjoy some time off, you don’t need to be on vacation to take some air 🌬✌️🤙
#debugging #buildinginpublic #templates #data #like #air",496,#66daysofdata #opensource #debugging #buildinginpublic #templates #data #like #air,8,"🌬, ✌️, 🤙",3,,0,,,Image,,,,https://media-exp1.licdn.com/dms/image/C4E22AQHGW_WWb2yOMQ/feedshare-shrink_2048_1536/0/1660252739023?e=1663804800&v=beta&t=e-kPIuNR1daiyAnJmHEZxtbg9mSmlrzaPyd1VbSZynI,,,,https://www.linkedin.com/feed/update/urn:li:activity:6963604710779973633,31643,30,392,0,0.0133,2022-08-18 08:35:20
6963445461399564288,dXJuOmxpOmFjdGl2aXR5OjY5NjM0NDU0NjEzOTk1NjQyODgtMTY2MDIxNDc3MjU0MA==,2022-08-11 12:46:12+0200,Florent Ravenel,https://www.linkedin.com/in/ACoAABCNSioBW3YZHc2lBHVG0E_TXYWitQkmwog,6 days ago,⏰ Save your time and schedule your notebook like a script!,"⏰ Save your time and schedule your notebook like a script!


To schedule your Jupyter Notebook using Papermill in naas.ai, you just need to add this simple formula👇.

import naas
naas.scheduler.add(cron=""0 * * * *"") ← this cron argument is the standard syntax worldwide. It means every hour in that case.

Press play ▶️ and your notebook will be sent to the Naas ""⚡️Production folder"".

Every time your notebook is executed, a record will be stored in this folder so you can access it if it fails.

Try now following this video: https://lnkd.in/erXctqWD

Thanks, Caleb Keller for the inspiration for my post!

Spread the open source love always 💚

#opensource #jupyternotebook #papermill #script #datascience #jobs #buildinpublic #naaslife",721,#opensource #jupyternotebook #papermill #script #datascience #jobs #buildinpublic #naaslife,8,"⏰, 👇, ▶️, ⚡️, 💚",5,https://lnkd.in/erXctqWD,1,Caleb Keller,naas-ai,Video (external),How to schedule a Jupyter notebook? #lowcode #jupyternotebook #scheduling,https://www.youtube.com/watch?v=ONiILHFItzs,,https://media-exp1.licdn.com/dms/image/sync/C5627AQFEe7QWlgiEeA/articleshare-shrink_800/0/1660223406234?e=1661410800&v=beta&t=51NeqHX5StEjHWKMHWFH20YgkGuFPVjYONvaUfWEX3s,,,,https://www.linkedin.com/feed/update/urn:li:activity:6963445461399564288,0,0,0,0,0.0,2022-08-18 08:35:20
6963172481528381440,dXJuOmxpOmFjdGl2aXR5OjY5NjMxNzI0ODE1MjgzODE0NDAtMTY2MDE0OTY4OTA1Mw==,2022-08-10 18:41:29+0200,Jérémy Ravenel,https://www.linkedin.com/in/ACoAAAJHE7sB5OxuKHuzguZ9L6lfDHqw--cdnJg,1 week ago,⭐️ Notebooks are the best medium ever created to work with data. ,"⭐️ Notebooks are the best medium ever created to work with data. 
But they also have their downsides....

...if you don't use them properly. 

My take is that it's about how we use notebooks, the notebooks are not responsible for bad coding habits. 

They are very permissive by nature, so if you are not rigorous, they can be very dirty, and I hate it. 😡

At naas.ai we are going way beyond notebooks, inspired by the work done at Netflix. 

We believe in clean, well formatted, versioned Notebooks that can be used as building blocks to create a generation of data products where code, documentation and execution live at the same place.

That's why we are building the biggest catalog of notebooks templates ever with our community (Check our GitHub repo in the comment)

→ If you are interested in the subject, here is a 20min conversation I had with Mehdi Ouazza a couple of weeks ago. 

Like a lot of people in data, he has a love and hate relationship with notebooks, but you will see that we agree on many points. 

Let's fight dirty Notebooks, for good 😜

#work #data #datascience #dataengineering #people #automation #analytics #ai #netflix #coding #building #like #notebooks #buildininpublic #love #hate #opensource #github #community #comment 
https://lnkd.in/eBRVc2DS",1258,#work #data #datascience #dataengineering #people #automation #analytics #ai #netflix #coding #building #like #notebooks #buildininpublic #love #hate #opensource #github #community #comment,20,"⭐️, 😡, 😜",3,https://lnkd.in/eBRVc2DS,1,Mehdi Ouazza,"naas-ai, netflix, github",Video (external),DCCP E02 - To Notebook Or Not To Notebook ? | Jeremy Ravenel (@naas ),https://www.youtube.com/watch?v=l5CBJSokn18,,https://media-exp1.licdn.com/dms/image/sync/C4E27AQG6eWXecUI4Jg/articleshare-shrink_800/0/1660240141421?e=1661410800&v=beta&t=GEI0Bk4B0AGkmXyfqmDpd0CW4kxkEYKY_YIQPFor164,,,,https://www.linkedin.com/feed/update/urn:li:activity:6963172481528381440,4188,5,37,0,0.01,2022-08-18 08:35:20
6963111882698190848,dXJuOmxpOmFjdGl2aXR5OjY5NjMxMTE4ODI2OTgxOTA4NDgtMTY2MDEzNTI0MTE4MQ==,2022-08-10 14:40:41+0200,Eddie Jaoude,https://www.linkedin.com/in/ACoAAAMoDw4BaimbnlHgdB3_PG6grXbBPr00TCc,1 week ago,Did you contribute to Open Source today?,"Did you contribute to Open Source today?

Remember it is not just about code! Actually code is only a small part of Open Source

✅ add value to the project / community
✅ learn faster and grow your network
✅ get the job / clients you deserve",234,,0,"✅, ✅, ✅",3,,0,,,Image,,,,https://media-exp1.licdn.com/dms/image/C4D22AQGq1xVu_QX_yA/feedshare-shrink_2048_1536/0/1660122904215?e=1663804800&v=beta&t=q_JAqwAXkGbTni45rmzDGiOiad17KEAHBAjnOnKQA6I,,,,https://www.linkedin.com/feed/update/urn:li:activity:6963111882698190848,0,0,0,0,0.0,2022-08-18 08:35:20
6962529188759138304,dXJuOmxpOmFjdGl2aXR5OjY5NjI1MjkxODg3NTkxMzgzMDQtMTY1OTk5NjMxNjExMA==,2022-08-09 00:05:16+0200,Jérémy Ravenel,https://www.linkedin.com/in/ACoAAAJHE7sB5OxuKHuzguZ9L6lfDHqw--cdnJg,1 week ago,My coding session today was like…,"My coding session today was like…


If you did not see my previous posts, this summer, we are building dashboards using open source toolkits like Plotly. 

Mine is on earth data. I call it “World situation room”

One mantra is at the center of that project:

“Start by the user experience and work backward to technology.” like Jobs was saying. 🍏

This means I need first to think about charts, layout, readability, responsiveness, code the front-end with placeholders and only when I’m done, integrate the data. 


This means… I iterate a lot, copy pasting snippets of code and bundle them together to keep only a few lines at the end.

It tough, but that’s ok, I’m learning a lot in the process 👌🙃

The dashboard we are building will become open source templates available on naas.ai repository on the end. 

If you want to participate to the project, just comment and we will onboard you!

This is day 63 / #66daysofdata 
 #opensource #technology #design #design #earth #building #buildinginpublic #coding  #data",992,#66daysofdata #opensource #technology #design #design #earth #building #buildinginpublic #coding #data,10,"🍏, 👌, 🙃",3,,0,,"plotly, naas-ai",Image,,,,https://media-exp1.licdn.com/dms/image/C4E22AQE0-0GaP_Eq_w/feedshare-shrink_2048_1536/0/1659996315319?e=1663804800&v=beta&t=yb0KID52HomBuVfyd5zeiPgJpB7ThSK8eevVDE2hY_4,,,,https://www.linkedin.com/feed/update/urn:li:activity:6962529188759138304,1953,2,39,0,0.021,2022-08-18 08:35:20
6962111481383374849,dXJuOmxpOmFjdGl2aXR5OjY5NjIxMTE0ODEzODMzNzQ4NDktMTY1OTg5NjcyNjkxOQ==,2022-08-07 20:25:26+0200,Jérémy Ravenel,https://www.linkedin.com/in/ACoAAAJHE7sB5OxuKHuzguZ9L6lfDHqw--cdnJg,1 week ago,🌎📊Dived into Earth OverShoot data today as I want to integrate a graph into the “world situation dashboard” we are building in the context of naas.ai summer-dashboarding project. ,"🌎📊Dived into Earth OverShoot data today as I want to integrate a graph into the “world situation dashboard” we are building in the context of naas.ai summer-dashboarding project. 

It’s a scary metric, each year we consume more than our planet can produce, and this year it has happened earlier than ever.

We all need to be conscious about this if we want to #movethedate

I also spent an hour on code and fixed the display of the navbar of my dashboard on Plotly, I did not manage to fix it yesterday.


Every day, I’m sharing my learnings about data, product management, open source and sustainability.

Activate the 🔔 on my profile Jérémy Ravenel if you want to get notified of my latest prose!

Thanks for the support 💚
This was day 62 / #66daysofdata 
 #sustainability #opensource #data #project #building #ai #productmanagement #buildinginpublic 

https://lnkd.in/eteHEraY",862,#movethedate #66daysofdata #sustainability #opensource #data #project #building #ai #productmanagement #buildinginpublic,10,"🌎, 📊, 🔔, 💚",4,https://lnkd.in/eteHEraY,1,Jérémy Ravenel,"naas-ai, plotly",Article,Earth Overshoot Day 2022 home - #MoveTheDate,https://www.overshootday.org/,,https://media-exp1.licdn.com/dms/image/sync/C4D27AQEhNxatx8uR5w/articleshare-shrink_800/0/1660182549112?e=1661151600&v=beta&t=PhfB3DKSTzZKh15LVWVZTsjCJM61Fy4Nxzp-E3U7KRk,,,,https://www.linkedin.com/feed/update/urn:li:activity:6962111481383374849,2326,0,16,0,0.0069,2022-08-18 08:35:20
6961704920911650816,dXJuOmxpOmFjdGl2aXR5OjY5NjE3MDQ5MjA5MTE2NTA4MTYtMTY1OTc5OTc5NTM0NA==,2022-08-06 17:29:55+0200,Jérémy Ravenel,https://www.linkedin.com/in/ACoAAAJHE7sB5OxuKHuzguZ9L6lfDHqw--cdnJg,5 days ago,Did you know that the green squares 🟩 heatmap showing how much you commit on GitHub have a VR version?,"Did you know that the green squares 🟩 heatmap showing how much you commit on GitHub have a VR version?

I just found this out and created mine 👇


When you open somebody’s Github profile, one of the things you may want to look at is their contribution graph. 

The contribution graph is not a tool to assess a developer’s qualification by any means. 
But it is a good way to show how much you are committed to creating or contributing to open source projects.(Private repos are not counted)

What I read behind the lines here is an intent to create a digital asset for GitHub users, like a trophy 🏆. I think it makes sense to try things like this in the Web3/Metaverse world.

→ Do you find this interesting?

→ If you want to generate it on your profile, there should be a ""NEW! View your contributions in 3D, VR and IRL"" CTA right below you contribution graph.

Cheers 🤙

This is day 61 / #66daysofdata and today I explored Plotly dash navbar functions, with not a lot of success  😅
#opensource #success #digital #developer #like #github #projects #buildinginpublic #metaverse #web3 #profile #developer",1085,#66daysofdata #opensource #success #digital #developer #like #github #projects #buildinginpublic #metaverse #web3 #profile #developer,13,"🟩, 👇, 🏆, 🤙, 😅",5,,0,,github,Image,,,,https://media-exp1.licdn.com/dms/image/C4E22AQHyR_nFDotWIw/feedshare-shrink_2048_1536/0/1659799790460?e=1663200000&v=beta&t=-MyhSzrUUawLOc1S5Yijt4SeZXVriPfSHyGb-mMTZDM,,,,https://www.linkedin.com/feed/update/urn:li:activity:6961704920911650816,1819,4,20,0,0.0132,2022-08-18 08:35:20
